Id,Label,Class,Degree
0.0,1000 Years for Revenge,n,6
1.0,Bush vs. the Beltway,c,4
2.0,Charlie Wilson's War,c,4
3.0,Losing Bin Laden,c,23
4.0,Sleeping With the Devil,n,8
5.0,The Man Who Warned America,c,7
6.0,Why America Slept,n,11
7.0,Ghost Wars,n,8
8.0,A National Party No More,c,25
9.0,Bush Country,c,16
10.0,Dereliction of Duty,c,15
11.0,Legacy,c,18
12.0,Off with Their Heads,c,25
13.0,Persecution,c,13
14.0,Rumsfeld's War,c,9
15.0,Breakdown,c,5
16.0,Betrayal,c,3
17.0,Shut Up and Sing,c,5
18.0,Meant To Be,n,3
19.0,The Right Man,c,5
20.0,Ten Minutes from Normal,c,10
21.0,Hillary's Scheme,c,5
22.0,The French Betrayal of America,c,7
23.0,Tales from the Left Coast,c,9
24.0,Hating America,c,9
25.0,The Third Terrorist,c,5
26.0,Endgame,c,9
27.0,Spin Sisters,c,9
28.0,All the Shah's Men,n,3
29.0,Dangerous Dimplomacy,c,4
30.0,The Price of Loyalty,l,20
31.0,"House of Bush, House of Saud",l,11
32.0,The Death of Right and Wrong,c,5
33.0,Useful Idiots,c,9
34.0,The O'Reilly Factor,c,5
35.0,Let Freedom Ring,c,10
36.0,Those Who Trespass,c,5
37.0,Bias,c,7
38.0,Slander,c,7
39.0,The Savage Nation,c,8
40.0,Deliver Us from Evil,c,18
41.0,Give Me a Break,c,8
42.0,The Enemy Within,c,6
43.0,The Real America,c,5
44.0,Who's Looking Out for You?,c,5
45.0,The Official Handbook Vast Right Wing Conspiracy,c,6
46.0,Power Plays,n,4
47.0,Arrogance,c,18
48.0,The Perfect Wife,n,4
49.0,The Bushes,c,8
50.0,Things Worth Fighting For,c,3
51.0,"Surprise, Security, the American Experience",n,6
52.0,Allies,c,5
53.0,Why Courage Matters,c,5
54.0,Hollywood Interrupted,c,6
55.0,Fighting Back,c,4
56.0,We Will Prevail,c,4
57.0,The Faith of George W Bush,c,5
58.0,Rise of the Vulcans,c,13
59.0,Downsize This!,l,5
60.0,Stupid White Men,l,6
61.0,Rush Limbaugh Is a Big Fat Idiot,l,4
62.0,The Best Democracy Money Can Buy,l,6
63.0,The Culture of Fear,l,4
64.0,America Unbound,l,9
65.0,The Choice,l,7
66.0,The Great Unraveling,l,21
67.0,Rogue Nation,l,6
68.0,Soft Power,l,4
69.0,Colossus,n,5
70.0,The Sorrows of Empire,l,7
71.0,Against All Enemies,l,15
72.0,American Dynasty,l,22
73.0,Big Lies,l,21
74.0,The Lies of George W. Bush,l,16
75.0,Worse Than Watergate,l,16
76.0,Plan of Attack,n,13
77.0,Bush at War,c,7
78.0,The New Pearl Harbor,l,5
79.0,Bushwomen,l,8
80.0,The Bubble of American Supremacy,l,4
81.0,Living History,l,4
82.0,The Politics of Truth,l,9
83.0,Fanatics and Fools,l,8
84.0,Bushwhacked,l,23
85.0,Disarming Iraq,l,5
86.0,Lies and the Lying Liars Who Tell Them,l,14
87.0,MoveOn's 50 Ways to Love Your Country,l,5
88.0,The Buying of the President 2004,l,5
89.0,Perfectly Legal,l,6
90.0,Hegemony or Survival,l,5
91.0,The Exception to the Rulers,l,8
92.0,Freethinkers,l,3
93.0,Had Enough?,l,7
94.0,"It's Still the Economy, Stupid!",l,7
95.0,We're Right They're Wrong,l,4
96.0,What Liberal Media?,l,6
97.0,The Clinton Wars,l,6
98.0,Weapons of Mass Deception,l,5
99.0,"Dude, Where's My Country?",l,12
100.0,Thieves in High Places,l,12
101.0,Shrub,l,5
102.0,Buck Up Suck Up,l,4
103.0,The Future of Freedom,n,2
104.0,Empire,n,3
